study,wave,version,versn_s,doi_gesis,doi_wvsa,studytit,uniqid,intrvwr_id,cntry,cntry_AN,cntrycow,year,fw_start,fw_end,cntry_y,mode,mm_mixed_mode_EVS5,mm_mode_fu_EVS5,mm_matrix_group_EVS5,mm_fw_start_fu_EVS5,mm_fw_end_fu_EVS5,mm_year_fu_EVS5,ivlength,ivstart,ivstend,ivdate,mm_v277_fu_EVS5,mm_v278a_fu_r_EVS5,mm_v279a_fu_r_EVS5,lnge_num,lnge_iso,gwght,pwght,wght_eq1000,reg_nuts1,reg_nuts2,reg_iso,size_5c,respint,A001,A002,A003,A004,A005,A006,A008,A009,A170,A173,A027,A029,A030,A032,A034,A035,A038,A039,A040,A041,A042,A065,A066,A067,A068,A071,A072,A074,A078,A079,A080_01,A080_02,A124_02,A124_03,A124_06,A124_08,A124_09,A165,B008,C001,C001_01,C002,C002_01,D081,D026_03,D026_05,C038,C039,C041,D001_B,G007_18_B,G007_33_B,G007_34_B,G007_35_B,G007_36_B,D054,D059,D060,D061,D078,E001,E002,E003,E004,Y002,E012,E015,E018,E023,E025,E026,E027,E028,E033,E035,E036,E037,E039,E069_01,E069_02,E069_04,E069_05,E069_06,E069_07,E069_08,E069_18A,E069_18,E069_11,E069_12,E069_13,E069_14,E069_17,E069_20,E111_01,E114,E115,E116,E117,E179_WVS7,E181_EVS5,E224,E225,E226,E227,E228,E229,E233,E233A,E233B,E235,E236,E263,E264,E265_01,E265_02,E265_03,E265_04,E265_05,E265_06,E265_07,E265_08,F025,F028,F028B_WVS7,F066_EVS5,F034,F050,F051,F053,F054,F063,F114A,F115,F116,F117,F118,F119,F120,F121,F122,F123,F132,E290,F144_02,G005,G006,G052,G062,G063,G255,G256,G257,H009,H010,H011,X001,X002,X003,X003R,X003R2,G027A,X002_02A,X002_02B,V002,V002A,V002A_01,V001,V001A,V001A_01,X007,X026,X011,X013,X025A_01,X025R,W002A_01,W002R,V004AM_01,V004RM,V004AF_01,V004RF,X028,W003,X052,X035_EVS5,X036E_WVS7,V097EF,W005_EVS5,W006E_WVS7,X047_WVS7,X047E_EVS5
1,5,1-0-0 (2020-11-13),4-0-0 (2020-10-20),doi:10.4232/1.13095,doi:10.14281/18241.2,EVS5,826050011,849,826,GB,200,2018,201802,201807,8262018,1,5,NA,NA,NA,NA,NA,60,10.1,11.1,20180329,NA,NA,NA,128,en,0.816704659634306,2.8324437360179,0.56,UKC,UKC1,NA,NA,1,1,2,1,2,4,3,2,3,9,7,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,3,1,1,4,4,4,2,2,4,1,2,1,3,2,2,2,3,3,2,4,2,1,1,4,2,1,2,3,1,1,2,3,3,5,6,5,6,3,3,2,4,3,2,3,3,4,4,3,3,3,2,2,4,6,4,3,4,1,NA,82601,7,1,10,8,1,10,10,5,6,10,7,1,1,1,4,2,4,2,1,4,4,8,8,NA,2,1,1,0,1,1,5,1,1,1,1,5,3,5,8,3,1,3,1,1,1,1,3,4,3,3,1,1,2,2,2,1,1945,73,6,3,1,826,GB,1,826,GB,1,826,GB,1,1,1,2,3,2,6,3,0,1,NA,NA,4,5,1,23,NA,2,53,NA,NA,6
1,5,1-0-0 (2020-11-13),4-0-0 (2020-10-20),doi:10.4232/1.13095,doi:10.14281/18241.2,EVS5,826050012,849,826,GB,200,2018,201802,201807,8262018,1,5,NA,NA,NA,NA,NA,50,16.02,16.52,20180222,NA,NA,NA,128,en,0.784979960243261,2.8324437360179,0.56,UKC,UKC1,NA,NA,1,1,4,1,4,2,4,2,2,10,5,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,NA,2,4,1,1,3,3,2,2,5,1,3,4,3,4,4,3,4,NA,3,1,2,NA,NA,1,4,2,1,NA,NA,4,1,2,2,2,5,10,1,10,10,4,2,4,NA,4,4,4,3,3,4,4,NA,NA,2,NA,1,NA,4,4,NA,NA,82666,10,NA,NA,10,1,NA,10,1,1,10,NA,4,4,NA,NA,NA,3,1,4,3,4,0,8,NA,7,2,0,0,0,0,1,1,1,10,1,1,10,1,1,10,NA,10,1,10,1,1,1,4,2,4,2,4,1,4,1,1,1976,42,3,2,1,826,GB,1,826,GB,1,826,GB,1,1,5,4,8,3,4,2,0,1,NA,NA,1,2,2,93,NA,NA,54,NA,NA,4
1,5,1-0-0 (2020-11-13),4-0-0 (2020-10-20),doi:10.4232/1.13095,doi:10.14281/18241.2,EVS5,826050013,849,826,GB,200,2018,201802,201807,8262018,1,5,NA,NA,NA,NA,NA,59,16.03,17.02,20180221,NA,NA,NA,128,en,0.68410488734949,2.8324437360179,0.56,UKC,UKC1,NA,NA,1,1,1,1,2,2,3,2,3,8,5,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,2,2,4,2,4,4,4,4,2,2,2,1,2,1,2,2,2,2,3,3,2,3,2,3,3,2,2,0,3,1,2,2,2,2,2,5,10,5,1,1,3,2,4,3,3,3,2,3,3,3,3,3,3,3,3,4,4,4,3,4,NA,82602,3,1,1,1,5,5,6,1,3,6,4,1,1,1,3,1,3,3,2,3,4,0,8,NA,7,3,0,0,0,0,3,10,1,1,1,1,1,5,5,7,4,1,1,5,1,2,3,3,3,3,3,3,2,4,2,2,1937,82,6,3,1,826,GB,1,826,GB,1,826,GB,1,1,4,2,2,1,0,1,0,1,0,1,4,4,2,51,NA,5,83,NA,NA,2
1,5,1-0-0 (2020-11-13),4-0-0 (2020-10-20),doi:10.4232/1.13095,doi:10.14281/18241.2,EVS5,826050014,849,826,GB,200,2018,201802,201807,8262018,1,5,NA,NA,NA,NA,NA,60,16.13,17.13,20180212,NA,NA,NA,128,en,0.780994410536038,2.8324437360179,0.56,UKC,UKC1,NA,NA,1,1,2,1,3,2,3,2,3,6,8,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,2,4,NA,4,5,2,4,5,1,2,1,2,2,2,2,2,4,3,4,2,1,2,4,3,1,2,3,3,1,3,3,3,6,1,1,1,1,3,2,4,3,2,4,4,4,4,4,4,4,2,3,4,1,2,2,3,1,NA,82666,NA,1,10,10,NA,10,10,5,1,10,8,3,2,1,2,1,3,2,NA,NA,4,8,8,NA,2,2,0,1,0,1,5,1,1,1,1,8,1,10,8,10,1,1,1,9,1,1,2,3,3,3,2,1,2,3,2,2,1955,63,5,3,1,826,GB,1,826,GB,1,826,GB,1,1,5,2,1,1,0,1,0,1,NA,NA,2,1,2,91,NA,1,54,NA,NA,2
1,5,1-0-0 (2020-11-13),4-0-0 (2020-10-20),doi:10.4232/1.13095,doi:10.14281/18241.2,EVS5,826050015,849,826,GB,200,2018,201802,201807,8262018,1,5,NA,NA,NA,NA,NA,64,14.17,15.21,20180324,NA,NA,NA,128,en,0.784979960243261,2.8324437360179,0.56,UKC,UKC1,NA,NA,1,1,1,2,2,1,4,1,1,9,10,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,2,4,1,2,5,2,4,2,2,4,1,2,2,3,2,2,2,3,3,2,3,1,3,4,2,3,1,2,1,1,2,2,3,2,5,10,6,3,1,3,2,3,2,3,3,2,3,3,3,3,3,2,2,2,5,3,1,3,1,NA,82602,7,3,10,8,8,10,10,10,7,10,8,1,4,1,1,3,3,2,2,2,4,8,8,NA,5,1,1,1,1,1,8,1,1,1,1,5,8,3,1,1,4,1,1,5,0,NA,3,2,1,1,1,1,3,4,4,1,1979,39,3,2,2,616,PL,0,616,PL,0,616,PL,1,1,3,3,8,3,8,3,4,2,4,2,1,1,2,81,NA,1,24,NA,NA,7
1,5,1-0-0 (2020-11-13),4-0-0 (2020-10-20),doi:10.4232/1.13095,doi:10.14281/18241.2,EVS5,826050016,5919,826,GB,200,2018,201802,201807,8262018,1,5,NA,NA,NA,NA,NA,62,15.02,16.04,20180215,NA,NA,NA,128,en,0.843121331244244,2.8324437360179,0.56,UKC,UKC1,NA,NA,1,1,1,1,3,4,3,1,4,8,5,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,3,3,1,1,1,5,2,3,2,1,1,2,1,4,4,4,2,2,4,3,3,2,1,4,3,2,1,2,1,3,1,3,3,3,1,1,10,10,1,2,1,4,1,2,4,4,4,4,4,3,3,2,3,3,1,4,4,4,1,NA,82602,10,1,10,10,1,8,10,10,5,10,2,1,1,1,4,2,4,4,2,2,4,2,8,NA,4,2,1,0,0,1,6,1,1,1,1,8,7,10,10,10,6,1,1,10,1,1,3,4,3,1,1,1,4,1,4,1,1937,82,6,3,1,826,GB,1,826,GB,1,826,GB,1,1,4,2,1,1,NA,NA,0,1,1,1,4,8,1,96,NA,1,33,NA,NA,1
1,5,1-0-0 (2020-11-13),4-0-0 (2020-10-20),doi:10.4232/1.13095,doi:10.14281/18241.2,EVS5,826050017,5919,826,GB,200,2018,201802,201807,8262018,1,5,NA,NA,NA,NA,NA,44,10.54,11.38,20180329,NA,NA,NA,128,en,0.468296501483905,2.8324437360179,0.56,UKC,UKC1,NA,NA,2,1,1,1,4,2,1,1,5,9,9,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,2,1,2,2,2,2,2,2,2,1,3,1,4,4,3,2,3,3,2,3,2,3,3,1,1,1,1,2,4,1,3,1,1,10,7,6,8,7,1,2,4,3,3,4,3,4,4,4,4,3,3,3,4,6,3,3,2,3,NA,82602,7,6,8,6,5,8,9,7,6,5,7,1,2,3,2,3,2,4,3,2,3,2,1,NA,1,1,1,1,0,1,8,4,2,5,1,10,6,1,8,5,6,2,6,9,1,1,2,3,2,1,1,2,1,1,1,2,1956,62,5,3,1,826,GB,1,826,GB,1,826,GB,1,1,5,5,5,3,3,2,0,1,0,1,4,1,1,22,NA,7,83,NA,NA,7
1,5,1-0-0 (2020-11-13),4-0-0 (2020-10-20),doi:10.4232/1.13095,doi:10.14281/18241.2,EVS5,826050018,5919,826,GB,200,2018,201802,201807,8262018,1,5,NA,NA,NA,NA,NA,53,11.01,11.54,20180216,NA,NA,NA,128,en,0.603175749537683,2.8324437360179,0.56,UKC,UKC1,NA,NA,2,1,2,1,2,3,3,1,3,10,9,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,2,5,2,5,4,5,5,3,2,5,1,1,1,2,2,2,3,3,4,3,4,1,3,2,3,2,0,1,1,3,1,2,3,3,5,2,5,2,4,3,2,4,4,2,3,3,3,3,3,3,3,2,2,2,2,4,3,4,1,NA,82666,3,2,9,6,2,9,10,3,9,10,10,1,1,1,2,3,4,3,2,2,4,2,8,NA,5,1,1,1,1,1,5,1,1,1,1,10,1,8,10,8,2,3,1,2,1,4,5,3,3,3,3,3,1,2,3,2,1965,53,4,3,1,826,GB,1,826,GB,1,826,GB,1,1,2,4,6,3,2,1,3,2,0,1,2,1,1,33,NA,6,33,NA,NA,9
1,5,1-0-0 (2020-11-13),4-0-0 (2020-10-20),doi:10.4232/1.13095,doi:10.14281/18241.2,EVS5,826050019,5919,826,GB,200,2018,201802,201807,8262018,1,5,NA,NA,NA,NA,NA,36,10.12,10.48,20180329,NA,NA,NA,128,en,0.973836020183719,2.8324437360179,0.56,UKC,UKC1,NA,NA,2,1,1,2,3,1,3,2,3,8,7,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,4,1,2,2,3,3,2,3,4,1,2,1,2,2,2,2,4,4,3,3,3,1,2,1,2,1,2,1,3,1,3,2,3,5,8,3,3,3,3,1,3,2,2,3,2,3,3,3,3,2,2,2,2,7,2,1,2,2,NA,82602,8,3,7,3,9,8,9,7,8,9,8,1,1,1,3,2,3,3,2,2,2,0,8,NA,7,2,0,0,1,0,1,1,1,1,1,7,1,6,6,9,1,3,1,7,1,2,3,3,3,2,3,2,2,2,3,2,1969,49,4,2,1,826,GB,1,826,GB,1,826,GB,6,1,2,3,3,2,NA,NA,5,3,1,1,2,NA,2,52,NA,6,NA,NA,NA,7
1,5,1-0-0 (2020-11-13),4-0-0 (2020-10-20),doi:10.4232/1.13095,doi:10.14281/18241.2,EVS5,826050020,5919,826,GB,200,2018,201802,201807,8262018,1,5,NA,NA,NA,NA,NA,44,15.53,16.37,20180316,NA,NA,NA,128,en,0.74338065745268,2.8324437360179,0.56,UKC,UKC1,NA,NA,1,1,2,3,3,1,3,2,2,5,5,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,2,4,1,1,2,4,3,2,1,3,1,2,2,2,2,2,2,4,4,3,4,1,2,2,3,2,1,3,1,4,1,3,3,3,5,7,5,9,2,3,1,4,3,3,3,2,3,3,3,3,3,3,3,2,3,3,2,2,3,NA,82602,5,2,3,2,5,5,5,7,4,5,3,2,3,3,3,3,2,3,3,2,3,0,8,NA,7,2,0,0,0,0,2,1,5,4,1,5,3,1,5,5,5,5,1,6,1,3,1,3,3,2,2,3,4,4,3,1,1972,46,4,2,1,826,GB,1,826,GB,1,826,GB,3,1,3,3,5,3,6,3,6,3,6,3,1,5,2,83,NA,6,53,NA,NA,3
